timestamp, DHT11_temp, DHT11_umidade, NTC_temp
1572039557,27,51,24.51
1572039558,27,51,24.51
1572039559,27,51,24.51
1572039560,27,51,24.51
1572039561,27,51,24.51
1572039562,27,51,24.51
1572039563,27,51,24.51
1572039564,27,51,24.51
1572039565,27,50,24.51
1572039566,27,50,24.51
1572039567,27,50,24.51
1572039568,27,50,24.51
1572039569,27,50,24.51
1572039570,27,50,24.60
1572039571,27,50,24.51
1572039573,27,50,24.51
1572039574,27,50,24.51
1572039575,27,50,24.51
1572039576,27,50,24.51
1572039577,27,50,24.51
1572039578,27,50,24.51
1572039579,27,50,24.51
1572039580,27,50,24.51
1572039581,27,50,24.51
1572039582,27,50,24.51
1572039583,27,50,24.51
1572039584,27,50,24.51
1572039585,27,50,24.51
1572039586,27,50,24.51
1572039587,27,50,24.51
1572039588,27,50,24.51
1572039589,27,50,24.51
1572039590,27,50,24.51
1572039591,27,50,24.51
1572039592,27,50,24.51
1572039593,27,50,24.51
1572039594,27,50,24.51
1572039595,27,50,24.51
1572039596,27,50,24.51
1572039597,27,50,24.51
1572039598,27,50,24.51
1572039599,27,50,24.51
1572039600,27,50,24.51
1572039601,27,50,24.51
1572039602,27,50,24.51
1572039603,27,50,24.51
1572039604,27,50,24.51
1572039605,27,50,24.51
1572039606,27,50,24.51
1572039607,27,50,24.51
1572039608,27,50,24.51
1572039609,27,50,24.51
1572039610,27,50,24.51
1572039611,27,50,24.51
1572039612,27,50,24.51
1572039613,27,50,24.51
1572039615,27,50,24.51
1572039616,27,50,24.51
1572039617,27,50,24.51
1572039618,27,50,24.51
1572039619,27,50,24.51
1572039620,27,50,24.51
1572039621,27,50,24.51
1572039622,27,50,24.51
1572039623,27,50,24.51
1572039624,27,50,24.51
1572039625,27,50,24.51
1572039626,27,50,24.51
1572039627,27,50,24.51
1572039628,27,50,24.51
1572039629,27,50,24.51
1572039630,27,50,24.51
1572039631,27,50,24.51
1572039632,27,50,24.51
1572039633,27,50,24.51
1572039634,27,50,24.51
1572039635,27,50,24.51
1572039636,27,50,24.51
1572039637,27,50,24.51
1572039638,27,50,24.51
1572039639,27,50,24.42
1572039640,27,50,24.51
1572039641,27,50,24.42
1572039642,27,50,24.51
1572039643,27,50,24.42
1572039644,27,50,24.51
1572039645,27,50,24.42
1572039646,27,50,24.51
1572039647,27,50,24.51
1572039648,27,50,24.51
1572039649,27,50,24.51
1572039650,27,50,24.51
1572039651,27,50,24.51
1572039652,27,50,24.51
1572039653,27,50,24.51
1572039655,27,50,24.51
1572039656,27,50,24.51
1572039657,27,50,24.51
1572039658,27,50,24.51
1572039659,27,50,24.42
1572039660,27,50,24.51
1572039661,27,50,24.51
1572039662,27,50,24.51
1572039663,27,50,24.51
1572039664,27,50,24.51
1572039665,27,50,24.51
1572039666,27,50,24.51
1572039667,27,50,24.51
1572039668,27,50,24.51
1572039669,27,50,24.51
1572039670,27,50,24.51
1572039671,27,50,24.51
1572039672,27,50,24.51
1572039673,27,50,24.51
1572039674,27,50,24.51
1572039675,27,50,24.51
1572039676,27,50,24.51
1572039677,27,50,24.51
1572039678,27,50,24.51
1572039679,27,50,24.51
1572039680,27,50,24.51
1572039681,27,50,24.51
1572039682,27,50,24.51
1572039683,27,50,24.51
1572039684,27,50,24.51
1572039685,27,50,24.51
1572039686,27,50,24.51
1572039687,27,50,24.51
1572039688,27,50,24.51
1572039689,27,50,24.42
1572039690,27,50,24.51
1572039691,27,50,24.51
1572039692,27,50,24.51
1572039693,27,50,24.51
1572039694,27,50,24.51
1572039696,27,50,24.51
