"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_pcr_2008","iqb_factor_2008"
"4749","SPparapua",353600,"3536000",0.737,"SP","parapua","São Paulo",6.596218,6.151647,0,11383,0,11383,1,"Sim","Masculino",0,"53",0.2492492,0,0.9279279,0.0776699,0,0,0,1,"SP","Parapua","parapua","15014306.87",16.52451,0.9494142,0.7647999
"4750","SPpardinho",353610,"3536109",0.727,"SP","pardinho","São Paulo",6.70094,5.219923,0,5285,0,5285,0,"Sim","Masculino",1,"40",0.2331288,0,0.898773,0.112628,0,0,0,1,"SP","Pardinho","pardinho","14890211.11",16.51621,0.9447626,0.7525184
"4751","SPparisi",353625,"3536257",0.721,"SP","parisi","São Paulo",6.308463,6.217703,0,2132,0,2132,0,"Não","Feminino",0,"32",0.1428571,0.02097902,0.8881988,0.1048951,0,0,0,1,"SP","Parisi","parisi","8474591.4",15.95258,0.9356868,0.7078171
"4752","SPpatrocinio paulista",353630,"3536307",0.73,"SP","patrocinio paulista","São Paulo",6.30007,5.79982,0,12811,0,12811,1,"Sim","Masculino",1,"52",0.4058824,0,0.7882353,0.09328358,0,1,0,0,"SP","Patrocinio Paulista","patrocinio paulista","22777390.95",16.94128,0.9640315,0.8416398
"4753","SPpauliceia",353640,"3536406",0.711,"SP","pauliceia","São Paulo",6.607137,6.377815,0,5750,0,5750,0,"Sim","Masculino",1,"44",0.1348684,0,0.9802632,0.02013423,1,0,0,0,"SP","Pauliceia","pauliceia","13598308.88",16.42546,0.9427109,0.7142056
"4754","SPpaulinia",353650,"3536505",0.795,"SP","paulinia","São Paulo",6.659948,4.627812,0,81544,0,81544,1,"Não","Masculino",1,"50",0.3580836,0,0.9499905,0.05264215,0,0,0,1,"SP","Paulinia","paulinia","797298893.3",20.49674,0.9626589,0.822482
"4755","SPpaulistania",353657,"3536570",0.718,"SP","paulistania","São Paulo",6.648401,5.713502,0,1898,0,1898,1,"Sim","Masculino",1,"57",0.2368421,0.04347826,0.7565789,0.06086957,0,0,0,1,"SP","Paulistania","paulistania","7430852.63",15.82115,0.9484716,0.7600252
"4756","SPpaulo de faria",353660,"3536604",0.725,"SP","paulo de faria","São Paulo",6.208691,6.180141,0,9378,0,9378,0,"Não","Masculino",1,"54",0.2671569,0,0.9264706,0.07936508,1,0,0,0,"SP","Paulo de Faria","paulo de faria","20664283.86",16.84392,0.9510931,0.7735957
"4757","SPpederneiras",353670,"3536703",0.739,"SP","pederneiras","São Paulo",6.60142,5.546075,0,42661,0,42661,0,"Sim","Feminino",1,"42",0.2150538,0,0.8892473,0.07255139,0,0,0,1,"SP","Pederneiras","pederneiras","49627832.08",17.72006,0.9463702,0.7482291
"4758","SPpedra bela",353680,"3536802",0.677,"SP","pedra bela","São Paulo",6.678657,4.457134,0,6097,0,6097,0,"Sim","Masculino",0,"41",0.1882845,0,0.916318,0.0913242,1,0,0,0,"SP","Pedra Bela","pedra bela","9360795.94",16.05204,0.9420265,0.7325324
"4759","SPpedranopolis",353690,"3536901",0.742,"SP","pedranopolis","São Paulo",6.305655,6.240061,0,2827,0,2827,0,"Não","Masculino",0,"43",0.08403361,0.2444444,0.3781513,0.2777778,1,0,0,0,"SP","Pedranopolis","pedranopolis","7686854.51",15.85502,0.9090332,0.6547568
"4760","SPpedregulho",353700,"3537008",0.715,"SP","pedregulho","São Paulo",6.214848,5.929802,0,15717,0,15717,0,"Sim","Masculino",1,"62",0.1341808,0,0.9463277,0.04626866,1,0,0,0,"SP","Pedregulho","pedregulho","23979815.15",16.99272,0.9403914,0.7107343
"4761","SPpedreira",353710,"3537107",0.769,"SP","pedreira","São Paulo",6.661381,4.539351,0,40269,0,40269,1,"Sim","Masculino",1,"52",0.265233,0,0.9327957,0.07204611,0,0,0,1,"SP","Pedreira","pedreira","66208549.87",18.00832,0.9515271,0.7735043
"4762","SPpedrinhas paulista",353715,"3537156",0.774,"SP","pedrinhas paulista","São Paulo",6.730923,6.07016,0,2923,0,2923,0,"Não","Masculino",0,"45",0.177665,0.1065089,0.857868,0.0591716,1,0,0,0,"SP","Pedrinhas Paulista","pedrinhas paulista","9409084.81",16.05719,0.9409576,0.7296954
"4763","SPpedro de toledo",353720,"3537206",0.696,"SP","pedro de toledo","São Paulo",6.853721,4.615912,0,10163,1,10163,0,"Não","Masculino",0,"52",0.130742,0.004424779,0.7985866,0.1371681,0,0,0,1,"SP","Pedro de Toledo","pedro de toledo","16587198.34",16.62414,0.9321025,0.6980786
"4764","SPpenapolis",353730,"3537305",0.759,"SP","penapolis","São Paulo",6.50234,6.053194,0,59183,1,59183,1,"Sim","Masculino",1,"44",0.3629461,0,0.9316629,0.02444988,0,1,0,0,"SP","Penapolis","penapolis","82228698.68",18.22501,0.965581,0.8282973
