"code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008"
"BAlajedinho",291900,"2919009",0.546,"BA","lajedinho","Bahia",6.74258578100575,5.59352108039866,0,4461,0,4461,0,"Não","Masculino",0,"47",0.0596330275229358,0.00980392156862745,0.467889908256881,0.166666666666667,0,0,0,1,"BA","Lajedinho","lajedinho","6979164.13",15.7584397154187
"BAlajedo do tabocal",291905,"2919058",0.584,"BA","lajedo do tabocal","Bahia",6.76585755745356,5.26636219530649,0,8923,0,8923,1,"Não","Feminino",0,"28",0.0886319845857418,0.0199600798403194,0.965317919075145,0.00798403193612774,0,0,0,1,"BA","Lajedo do Tabocal","lajedo do tabocal","9480311.52",16.0647277344508
"BAlapao",291915,"2919157",0.596,"BA","lapao","Bahia",6.7098895348522,5.99602911360556,0,26461,0,26461,1,"Sim","Masculino",1,"57",0.0292682926829268,0,0.490731707317073,0.343936381709742,0,0,0,1,"BA","Lapao","lapao","26052654.75",17.0756302307601
"BAlauro de freitas",291920,"2919207",0.754,"BA","lauro de freitas","Bahia",6.98747177960979,3.07731226054641,1,153016,1,153016,1,"Sim","Feminino",1,"51",0.0812375610638683,0.258207070707071,0.28659308847476,0.161616161616162,1,1,1,0,"BA","Lauro de Freitas","lauro de freitas","207277130.2",19.1495672490818
"BAlicinio de almeida",291940,"2919405",0.621,"BA","licinio de almeida","Bahia",6.38750202106659,6.15617357658502,0,13135,0,13135,1,"Não","Masculino",0,"36",0.075,0,0.947916666666667,0.0549450549450549,0,0,0,1,"BA","Licinio de Almeida","licinio de almeida","13004269.87",16.3807883130359
"BAlivramento de nossa senhora",291950,"2919504",0.611,"BA","livramento de nossa senhora","Bahia",6.54619700238815,5.90808293816893,0,43994,0,43994,1,"Sim","Masculino",1,"54",0.0688905003625816,0.0636474908200734,0.592458303118202,0.107711138310894,0,0,0,1,"BA","Livramento de Nossa Senhora","livramento de nossa senhora","34665491.92",17.3612552809403
"BAluis eduardo magalhaes",291955,"2919553",0.716,"BA","luis eduardo magalhaes","Bahia",6.15237092714645,6.68174512287963,0,48977,0,48977,1,"Não","Masculino",0,"59",0.118895966029724,0.628242074927954,0.368365180467091,0.368876080691643,0,0,0,1,"BA","Luis Eduardo Magalhaes","luis eduardo magalhaes","72389247.74",18.0975683344485
"BAmacajuba",291960,"2919603",0.524,"BA","macajuba","Bahia",6.81530002001036,5.39870554057931,0,11522,0,11522,0,"Não","Masculino",1,"64",0.0946601941747573,0.0950704225352113,0.689320388349515,0,0,0,0,1,"BA","Macajuba","macajuba","13395342.79",16.4104176515255
"BAmacarani",291970,"2919702",0.605,"BA","macarani","Bahia",6.68959926917897,5.87135693672007,0,16735,0,16735,0,"Não","Masculino",0,"49",0.0639686684073107,0.0291734197730956,0.805483028720627,0.0486223662884927,0,0,0,1,"BA","Macarani","macarani","18672729.12",16.7425746815893
"BAmacaubas",291980,"2919801",0.609,"BA","macaubas","Bahia",6.46387153596991,6.11761249909599,0,47991,0,47991,1,"Sim","Masculino",0,"44",0.152527849185947,0,0.893744644387318,0.0728667305848514,0,0,0,1,"BA","Macaubas","macaubas","41435339.39",17.5396446831331
"BAmacurure",291990,"2919900",0.604,"BA","macurure","Bahia",7.09939990723694,6.05692451857977,0,7913,0,7913,0,"Não","Feminino",1,"39",0.0809399477806789,0.00279329608938547,0.934725848563969,0.0614525139664804,0,0,0,1,"BA","Macurure","macurure","12845553.28",16.368508261168
"BAmadre de deus",291992,"2919926",0.708,"BA","madre de deus","Bahia",6.96451361280075,3.34003094642467,1,16354,0,16354,1,"Sim","Feminino",0,"51",0.0879120879120879,0.167989417989418,0.48868778280543,0.46957671957672,0,0,0,1,"BA","Madre de Deus","madre de deus","114327087.7",18.5545740884394
"BAmaetinga",291995,"2919959",0.538,"BA","maetinga","Bahia",6.55364846314911,5.9210957294411,0,8432,0,8432,1,"Sim","Masculino",0,"56",0.0657534246575342,0.106122448979592,0.671232876712329,0.130612244897959,0,0,0,1,"BA","Maetinga","maetinga","10066090",16.1246829072679
"BAmaiquinique",292000,"2920007",0.576,"BA","maiquinique","Bahia",6.70997484712564,5.85827595286424,0,8713,0,8713,0,"Não","Masculino",0,"47",0.0317919075144509,0,0.861271676300578,0,0,0,0,1,"BA","Maiquinique","maiquinique","8334235.75",15.9358823783014
"BAmairi",292010,"2920106",0.572,"BA","mairi","Bahia",6.86094665027393,5.42261248581964,0,19752,0,19752,0,"Não","Masculino",0,"61",0.0104166666666667,0,0.704427083333333,0.127541589648799,0,0,0,1,"BA","Mairi","mairi","19624346.29",16.7922815110143
"BAmalhada",292020,"2920205",0.562,"BA","malhada","Bahia",6.16173460881512,6.37767887562401,0,16647,0,16647,1,"Não","Masculino",0,"51",0.0694117647058824,0,0.715294117647059,0.0509868421052632,0,0,0,1,"BA","Malhada","malhada","20190966.34",16.8207458514517
"BAmalhada de pedras",292030,"2920304",0.578,"BA","malhada de pedras","Bahia",6.50398872750955,5.9827264811647,0,7753,0,7753,0,"Não","Masculino",0,"48",0.153605015673981,0,0.943573667711599,0.0598006644518272,0,0,0,1,"BA","Malhada de Pedras","malhada de pedras","8706763.41",15.9796106850515
"BAmanoel vitorino",292040,"2920403",0.566,"BA","manoel vitorino","Bahia",6.73990451341664,5.43039770690524,0,14389,0,14389,0,"Não","Masculino",0,"60",0.043010752688172,0,0.931899641577061,0.0730769230769231,0,0,0,1,"BA","Manoel Vitorino","manoel vitorino","15958963.97",16.5855312337185
"BAmansidao",292045,"2920452",0.599,"BA","mansidao","Bahia",6.5559115032769,6.47883217083578,0,12142,0,12142,0,"Não","Masculino",1,"45",0.102260495156082,0.00561797752808989,0.383207750269107,0.0252808988764045,0,0,0,1,"BA","Mansidao","mansidao","14096413.34",16.4614309499404
"BAmaracas",292050,"2920502",0.607,"BA","maracas","Bahia",6.74249140910963,5.36747022523635,0,35617,1,35617,0,"Sim","Masculino",0,"64",0.152502910360885,0.00721500721500722,0.806752037252619,0.0404040404040404,0,0,0,1,"BA","Maracas","maracas","24884022.53",17.0297364900177
"BAmaragogipe",292060,"2920601",0.621,"BA","maragogipe","Bahia",6.93401739097103,3.89508028469783,1,43620,0,43620,1,"Sim","Masculino",0,"38",0.00346260387811634,0.00433369447453954,0.639196675900277,0.202600216684724,1,1,1,0,"BA","Maragogipe","maragogipe","35494396.24",17.3848853895913
"BAmarau",292070,"2920700",0.593,"BA","marau","Bahia",6.88312441448531,4.92114812759472,0,17386,0,17386,1,"Não","Masculino",0,"53",0.0129482071713147,0.0150602409638554,0.330677290836653,0.319277108433735,0,0,0,1,"BA","Marau","marau","22229711.01",16.9169402858559
"BAmarcionilio souza",292080,"2920809",0.561,"BA","marcionilio souza","Bahia",6.7505516101898,5.38861500452882,0,11043,0,11043,0,"Não","Masculino",0,"60",0.0173913043478261,0.0591715976331361,0.587826086956522,0.0355029585798817,0,0,0,1,"BA","Marcionilio Souza","marcionilio souza","12055547.3",16.3050354688157
"BAmascote",292090,"2920908",0.581,"BA","mascote","Bahia",6.82857136910285,5.70574720996579,0,16557,0,16557,0,"Não","Masculino",1,"68",0.0631424375917768,0,0.914831130690162,0.0658105939004815,0,0,0,1,"BA","Mascote","mascote","15787376.35",16.5747212134645
"BAmata de sao joao",292100,"2921005",0.668,"BA","mata de sao joao","Bahia",7.00239250513121,3.99194262860402,1,38962,0,38962,1,"Sim","Masculino",1,"51",0.0232954545454545,0.149085794655415,0.403977272727273,0.39803094233474,0,0,0,1,"BA","Mata de Sao Joao","mata de sao joao","73261197.49",18.1095416609362
"BAmatina",292105,"2921054",0.572,"BA","matina","Bahia",6.37053434385661,6.17503532330237,0,12976,0,12976,0,"Sim","Feminino",0,"55",0.108235294117647,0.00952380952380952,0.741176470588235,0.0888888888888889,0,0,0,1,"BA","Matina","matina","12871543.8",16.3705295257584
"BAmedeiros neto",292110,"2921104",0.625,"BA","medeiros neto","Bahia",6.73386606980438,6.25927548991735,0,22629,0,22629,1,"Não","Masculino",1,"52",0.151487826871055,0.0515603799185889,0.664562669071235,0.0854816824966079,0,0,0,1,"BA","Medeiros Neto","medeiros neto","23455813.43",16.9706289295953
"BAmiguel calmon",292120,"2921203",0.586,"BA","miguel calmon","Bahia",6.83355961067553,5.64922068666352,0,27850,0,27850,0,"Não","Masculino",1,"44",0.0621301775147929,0.0617647058823529,0.670611439842209,0.111764705882353,0,0,0,1,"BA","Miguel Calmon","miguel calmon","24294909.63",17.0057774061198
"BAmilagres",292130,"2921302",0.622,"BA","milagres","Bahia",6.83266528634256,4.98723018564993,0,12100,0,12100,0,"Não","Masculino",0,"53",0.0418760469011725,0.0594315245478036,0.648241206030151,0.242894056847545,0,0,0,1,"BA","Milagres","milagres","12553168.01",16.3454836227624
"BAmirangaba",292140,"2921401",0.542,"BA","mirangaba","Bahia",6.86629766583249,5.76022581807941,0,18436,0,18436,0,"Sim","Masculino",1,"45",0.0293333333333333,0.0067001675041876,0.796,0.229480737018425,0,0,0,1,"BA","Mirangaba","mirangaba","20782244.12",16.8496095320296
"BAmirante",292145,"2921450",0.527,"BA","mirante","Bahia",6.66873637850964,5.64321826768142,0,8876,0,8876,0,"Não","Masculino",0,"38",0.0284090909090909,0.0443548387096774,0.704545454545455,0.0846774193548387,0,0,0,1,"BA","Mirante","mirante","10188142.92",16.1367351432516
"BAmonte santo",292150,"2921500",0.506,"BA","monte santo","Bahia",7.00670428476703,5.6887703545357,0,53577,0,53577,1,"Sim","Masculino",0,"55",0.0249780893952673,0,0.513584574934268,0.0930034129692833,0,0,0,1,"BA","Monte Santo","monte santo","50078258.34",17.7290975065955
"BAmorpara",292160,"2921609",0.558,"BA","morpara","Bahia",6.53285817244039,6.29439846656848,0,8853,0,8853,0,"Não","Masculino",0,"29",0,0,0.375536480686695,0.0342857142857143,0,0,0,1,"BA","Morpara","morpara","9185110.49",16.0330943059548
"BAmortugaba",292180,"2921807",0.618,"BA","mortugaba","Bahia",6.40050658370649,6.1624091308786,0,14508,0,14508,0,"Sim","Feminino",0,"49",0.00560747663551402,0.00826446280991736,0.452336448598131,0.0661157024793388,0,0,0,1,"BA","Mortugaba","mortugaba","12946325.28",16.3763225436796
"BAmucuge",292190,"2921906",0.606,"BA","mucuge","Bahia",6.64741596292206,5.7362496647937,0,14629,0,14629,1,"Não","Masculino",1,"58",0.121082621082621,0.0770975056689342,0.628205128205128,0.0702947845804989,0,0,0,1,"BA","Mucuge","mucuge","15967575.52",16.5860706940137
"BAmuniz ferreira",292220,"2922201",0.617,"BA","muniz ferreira","Bahia",6.90648447184869,4.17438726989564,1,7214,0,7214,0,"Não","Masculino",1,"66",0.114893617021277,0.0352112676056338,0.604255319148936,0.246478873239437,0,0,0,1,"BA","Muniz Ferreira","muniz ferreira","7108781.54",15.776841414379
"BAmuquem de sao francisco",292225,"2922250",0.549,"BA","muquem de sao francisco","Bahia",6.4422057156413,6.32089418560651,0,10547,0,10547,1,"Sim","Masculino",0,"42",0.027124773960217,0.00930232558139535,0.38878842676311,0.0883720930232558,0,0,0,1,"BA","Muquem de Sao Francisco","muquem de sao francisco","16512089.12",16.6196033445357
"BAmuritiba",292230,"2922300",0.66,"BA","muritiba","Bahia",6.93277954388687,4.16774990663838,1,27866,0,27866,1,"Não","Masculino",0,"62",0.065,0.034106412005457,0.733,0.0613915416098226,0,0,0,1,"BA","Muritiba","muritiba","22556167.7",16.9315190987104
"BAmutuipe",292240,"2922409",0.601,"BA","mutuipe","Bahia",6.85661986686737,4.71321709007123,0,21935,0,21935,1,"Não","Masculino",0,"42",0.073208722741433,0.00899280575539568,0.866043613707165,0.0773381294964029,1,1,1,0,"BA","Mutuipe","mutuipe","20488620.8",16.8353802070662
